retries,elapsed,delay,loss,size,rate,proto,GTRs
0,0.08186200,0.0,0.0,1000,12220.0,IPv4,0
0,0.09524200,0.0,0.0,1000,10500.0,IPv6,1
0,1.13103700,0.0,0.0,1000,884.1,IPv4,3
0,0.11423900,0.0,0.0,1000,8754.0,IPv6,0
0,1.13061200,0.0,0.0,1000,884.5,IPv4,4
0,0.13300800,0.0,0.0,1000,7518.0,IPv6,1
0,1.19312500,0.0,0.0,1000,838.1,IPv4,5
0,0.19903600,0.0,0.0,1000,5024.0,IPv6,0
0,0.28433200,0.0,0.0,1000,3517.0,IPv4,3
0,1.35768200,0.0,0.0,1000,736.5,IPv6,6
0,0.49035400,0.0,0.0,1000,2039.0,IPv4,4
0,0.49988400,0.0,0.0,1000,2000.0,IPv6,2
0,1.08406400,0.0,0.0,1000,922.5,IPv4,6
0,1.09504900,0.0,0.0,1000,913.2,IPv6,4
0,0.08744300,0.0,0.1,1000,11440.0,IPv4,0
0,1.10484300,0.0,0.1,1000,905.1,IPv6,7
0,0.10788200,10.1,0.1,1000,9269.0,IPv4,1
0,1.17461900,10.1,0.1,1000,851.3,IPv6,6
0,0.12397300,20.1,0.1,1000,8066.0,IPv4,0
0,1.14190800,20.1,0.1,1000,875.7,IPv6,8
0,0.18555900,50.0,0.1,1000,5389.0,IPv4,0
0,1.21531700,50.0,0.1,1000,822.8,IPv6,9
0,0.28347200,100.0,0.1,1000,3528.0,IPv4,0
0,1.29993500,100.0,0.1,1000,769.3,IPv6,10
0,0.48287600,200.0,0.1,1000,2071.0,IPv4,1
0,0.48756300,200.0,0.1,1000,2051.0,IPv6,5
0,1.08691800,500.0,0.1,1000,920.0,IPv4,5
0,1.09063700,500.0,0.1,1000,916.9,IPv6,6
0,0.08505700,0.0,10.0,1000,11760.0,IPv4,0
0,1.11855900,0.0,10.0,1000,894.0,IPv6,7
0,0.10559200,10.1,10.0,1000,9470.0,IPv4,0
0,1.16518900,10.1,10.0,1000,858.2,IPv6,9
0,0.12568400,20.1,10.0,1000,7956.0,IPv4,0
0,1.14179500,20.1,10.0,1000,875.8,IPv6,9
0,14.19968600,50.0,10.0,1000,70.42,IPv4,27
0,1.20206200,50.0,10.0,1000,831.9,IPv6,5
0,5.29319400,100.0,10.0,1000,188.9,IPv4,8
0,0.28810800,100.0,10.0,1000,3471.0,IPv6,2
0,5.48723300,200.0,10.0,1000,182.2,IPv4,10
0,0.49972200,200.0,10.0,1000,2001.0,IPv6,1
0,1.08224500,500.0,10.0,1000,924.0,IPv4,5
0,1.09383200,500.0,10.0,1000,914.2,IPv6,3
0,0.08508300,0.0,20.0,1000,11750.0,IPv4,0
0,1.10538800,0.0,20.0,1000,904.7,IPv6,7
0,0.10408700,10.1,20.0,1000,9607.0,IPv4,1
0,1.13307900,10.1,20.0,1000,882.6,IPv6,9
0,0.12499500,20.1,20.0,1000,8000.0,IPv4,0
0,1.15716400,20.1,20.0,1000,864.2,IPv6,7
0,0.18314000,50.0,20.0,1000,5460.0,IPv4,2
0,5.20404800,50.0,20.0,1000,192.2,IPv6,18
0,3.36363800,100.0,20.0,1000,297.3,IPv4,9
0,6.33271000,100.0,20.0,1000,157.9,IPv6,6
0,0.48593300,200.0,20.0,1000,2058.0,IPv4,0
0,5.49540800,200.0,20.0,1000,182.0,IPv6,9
0,1.08595600,500.0,20.0,1000,920.8,IPv4,3
0,6.09550000,500.0,20.0,1000,164.1,IPv6,7
0,0.08637200,0.0,30.1,1000,11580.0,IPv4,0
0,15.13214100,0.0,30.1,1000,66.08,IPv6,20
0,0.10380500,10.1,30.1,1000,9633.0,IPv4,0
0,15.13305700,10.1,30.1,1000,66.08,IPv6,18
0,0.12459000,20.1,30.1,1000,8026.0,IPv4,0
0,5.14407000,20.1,30.1,1000,194.4,IPv6,8
0,0.18412000,50.0,30.1,1000,5431.0,IPv4,2
0,5.19575100,50.0,30.1,1000,192.5,IPv6,11
0,15.30318000,100.0,30.1,1000,65.35,IPv4,22
0,0.29350100,100.0,30.1,1000,3407.0,IPv6,0
